Time,Frame,V (cm/s),Vx (cm/s),Vy (cm/s),X (cm),Y (cm)
18:23:47.412096,2,1.192843543718833,1.092593407406381,0.47865996895898594,14.007,6.136399999999999
18:23:47.513093,3,0.0,0.0,0.0,14.007,6.136399999999999
18:23:47.612096,4,0.0,0.0,0.0,14.007,6.136399999999999
18:23:47.719096,5,0.0,0.0,0.0,14.007,6.136399999999999
18:23:47.815092,6,0.0,0.0,0.0,14.007,6.136399999999999
18:23:47.913097,7,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.023092,8,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.143097,9,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.246099,10,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.342092,11,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.438119,12,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.530094,13,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.645098,14,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.740120,15,0.0,0.0,0.0,14.007,6.136399999999999
18:23:48.936101,17,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.063100,18,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.172098,19,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.274101,20,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.375094,21,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.487096,22,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.633097,23,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.766105,24,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.852457,25,0.0,0.0,0.0,14.007,6.136399999999999
18:23:49.940250,26,0.0,0.0,0.0,14.007,6.136399999999999
18:23:50.043245,27,0.0,0.0,0.0,14.007,6.136399999999999
18:23:50.137598,28,0.0,0.0,0.0,14.007,6.136399999999999
18:23:50.232123,29,0.0,0.0,0.0,14.007,6.136399999999999
18:23:50.317826,30,0.0,0.0,0.0,14.007,6.136399999999999
18:23:50.813817,32,0.0,0.0,0.0,14.007,6.136399999999999
18:23:50.898328,33,0.033050510966668584,0.023370240426211716,-0.023370240426211716,14.009021212121212,6.134378787878787
18:23:50.990745,34,0.030429000069912476,0.02151655229416104,-0.02151655229416104,14.010923529411764,6.132476470588235
18:23:51.072045,35,0.027185359840458487,0.01922295229218464,-0.01922295229218464,14.012717142857142,6.130682857142856
18:23:51.174831,36,0.02610164918909127,0.01845665314175879,-0.01845665314175879,14.01441111111111,6.128988888888888
18:23:51.259635,37,0.003299562026487769,-0.0023331426838806486,0.002333142683869608,14.014210810810809,6.129189189189188
18:23:51.347775,38,0.003081570466480885,-0.002178999373547384,0.002178999373558268,14.014021052631579,6.12937894736842
18:23:51.433720,39,0.002893815628609795,-0.002046236654488211,0.002046236654498985,14.013841025641026,6.129558974358974
18:23:51.519879,40,0.002874768854551773,-0.002032768551403075,0.002032768551391809,14.01367,6.12973
18:23:51.606626,41,0.002652704082062474,-0.0018757450449076113,0.0018757450449076113,14.01350731707317,6.129892682926829
18:23:51.693635,42,0.0025178161076852114,-0.0017803648435249315,0.0017803648435249315,14.01335238095238,6.130047619047618
18:23:51.782714,43,0.002345302773101155,-0.0016583794947901218,0.0016583794948007622,14.01320465116279,6.130195348837209
18:23:51.863226,44,0.002477032382810677,-0.0017515263951099881,0.001751526395098215,14.013063636363636,6.1303363636363635
18:23:51.951842,45,0.002126361381341374,-0.0015035645519943916,0.0015035645520049682,14.012928888888888,6.1304711111111105
18:23:52.273880,47,0.001111485984523823,-0.0007859392768520777,0.000785939276849125,14.01267659574468,6.130723404255319
18:23:52.359270,48,0.0018703513564384325,-0.001322538127333773,0.001322538127344373,14.012558333333333,6.130841666666667
18:23:52.444785,49,0.0019679676646713867,-0.0013915632808449913,0.0013915632808449913,14.012444897959183,6.130955102040816
18:23:52.676801,50,0.0006552741131095592,-0.00046334876891577,0.00046334876891577,14.012336,6.131063999999999
18:23:52.781824,51,0.0013960089726411087,-0.0009871274111517934,0.0009871274111517934,14.012231372549019,6.13116862745098
18:23:52.893804,52,0.001281763254436935,-0.0009063434890966342,0.0009063434890795554,14.012130769230767,6.13126923076923
18:23:53.019801,53,0.012935867369247121,0.009147039537328155,-0.00914703953732069,14.013292452830187,6.1301075471698105
18:23:53.125796,54,0.015207306305933107,0.010753189412506246,-0.010753189412506246,14.01441111111111,6.128988888888888
18:23:53.222801,55,0.01588369973218705,0.011231471790960413,-0.011231471790960413,14.01548909090909,6.127910909090909
18:23:53.317823,56,0.015476043315357844,0.010943215174226271,-0.010943215174226271,14.01652857142857,6.1268714285714285
18:23:53.417794,57,0.0023407137655848853,-0.001655134576461771,0.001655134576461771,14.016361403508771,6.127038596491228
18:23:53.530802,58,0.002002228887890484,-0.0014157896241149606,0.0014157896241149606,14.0162,6.127199999999999
18:23:53.641801,59,0.0126448581465904,0.008941264942596032,-0.008941264942596032,14.017174576271186,6.126225423728813
18:23:53.749795,60,0.012222828156884307,0.008642844675006416,-0.008642844675015112,14.018116666666666,6.125283333333333
18:23:54.141805,62,0.008000582688985848,0.0056572662728255965,-0.0056572662728255965,14.02034,6.12306
18:23:54.253798,63,0.014164092431694421,0.01001552580780845,-0.01001552580779991,14.021451666666666,6.121948333333333
18:23:54.349823,64,0.016371687610057188,0.011576531328534286,-0.011576531328544155,14.02256333333333,6.1208366666666665
