Time,Frame,V (cm/s),Vx (cm/s),Vy (cm/s),X (cm),Y (cm)
18:21:34.459409,2.0,1.7387388359036802,1.5926100277888546,0.6977148693170219,14.007,6.136399999999999
18:21:34.647408,3.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:34.836410,4.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:34.944405,5.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.044407,6.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.175407,7.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.286402,8.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.407405,9.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.518408,10.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.614408,11.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.717431,12.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.829406,13.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:35.939431,14.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.031407,15.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.287407,17.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.391406,18.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.487408,19.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.590404,20.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.702409,21.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.826405,22.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:36.938406,23.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:37.034432,24.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:37.158405,25.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:37.287412,26.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:37.401404,27.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:37.519412,28.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:37.622431,29.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:37.717403,30.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:39.390407,32.0,0.0,0.0,0.0,14.007,6.136399999999999
18:21:39.485408,33.0,0.030090116212403366,0.02127692522048169,-0.02127692522048169,14.009021212121212,6.134378787878787
18:21:39.629409,34.0,0.018553037068580577,0.013118978322798711,-0.013118978322798711,14.010923529411764,6.132476470588235
18:21:39.731414,35.0,0.025107843651440052,0.01775392650690487,-0.01775392650690487,14.012717142857142,6.130682857142856
